product_id,ingredient_name,therapeutic_class
c0308f1e,Chlorpheniramine Maleate,antihistamine
fe57a77a,Atorvastatin,Beta-blocker
1b6ce9a8,Methylprednisolone,corticosteroid
0ffdf9a3,Vitamin C,Anxiolytic
cfcf52e4,Beclometasone,corticosteroid
8e4d6dd9,Hydroxyzine,Antiviral
daeb7df5,Doxylamine,Anxiolytic
86e4a536,Paroxetine,Beta-blocker
6984bdc5,Rosuvastatin,Antifungal
e8b8871e,Minoxidil,Antiviral
75d65cff,Ofloxacin,Antifungal
5c7b03cc,Bromhexine,analgesic
c01a41d5,Gliclazide,Anxiolytic
661f6ca4,Metolazone,Beta-blocker
fcb917c1,Cefadroxil,Anxiolytic
62802b79,Cefoperazone,Antifungal
d81249f9,Clobetasol,Antifungal
984b2270,Ketoconazole,Antiviral
9069c736,Rosuvastatin,Anxiolytic
f734b276,Aceclofenac,analgesic
8e9e8176,Alpha Lipoic Acid,Antiviral
389cd6a7,Phenylephrine,antihistamine
f20abe64,Amoxycillin,antibiotic
324c277d,Ketoconazole,Antiviral
a1310781,Cetrimide,Beta-blocker
00b809bd,Aceclofenac,analgesic
06c7f368,Ondansetron,Beta-blocker
2781f4a4,Metformin,antidiabetic
46bf8d74,Imipenem,Beta-blocker
f865c092,Primaquine,Beta-blocker
f5ec23e9,Isoxsuprine,Beta-blocker
fb511ea4,Tranexamic Acid,Antiviral
1c48ff5a,Levetiracetam,Antifungal
2550121c,Ampicillin,Anxiolytic
ff0bfcc5,Oxymetazoline,Antiviral
ea4c1acc,Thiocolchicoside,analgesic
4003d8a5,Amoxycillin,antibiotic
4d96dc55,Carboxymethylcellulose,Antiviral
311a67f0,Omeprazole,antacid
b71acfbc,Oxetacaine,Anxiolytic
d656f96c,Itraconazole,Beta-blocker
5ff58d62,Rabeprazole,antacid
974e4f04,Amoxycillin,antibiotic
e0d8e4d9,Diazepam,Beta-blocker
9602ffe7,Ciprofloxacin,antibiotic
54c8b891,Dapoxetine,Antiviral
8a3e96d4,Lidocaine,Anxiolytic
2c45a843,Olmesartan Medoxomil,Antiviral
bc1f2e97,Cinnarizine,Antiviral
75d5eda0,Cabergoline,Beta-blocker
92df4d92,Cefixime,antibiotic
ea438cd5,Clomiphene,Beta-blocker
580e8b1f,Repaglinide,Antifungal
0680cb07,Roflumilast,Anxiolytic
90df6518,Polyethylene Glycol,Antiviral
b2aac4f1,Paracetamol/Acetaminophen,analgesic
7e436789,Ibuprofen,Antifungal
d9128d0a,Progesterone,Antifungal
bd85abbb,Vildagliptin,Anxiolytic
72d55c02,Chloramphenicol,Antiviral
550a45ed,Fluconazole,Antiviral
de1021ac,Azithromycin,antibiotic
cadf5768,Ciprofloxacin,antibiotic
43b451a1,Ofloxacin,Beta-blocker
dd31d88a,Citalopram,Antifungal
833008b8,Ondansetron,Beta-blocker
463a8497,Ketoconazole,Beta-blocker
54a229fe,Cefixime,antibiotic
7f0e2951,Testosterone,Beta-blocker
4a4a5081,Albendazole,Anxiolytic
d2b2b9ae,Caspofungin,Antifungal
22540959,Betamethasone,Antifungal
728406a6,Miconazole,Anxiolytic
35e2d37a,Metamizole,Beta-blocker
8a1b488a,Valproic Acid,Anxiolytic
cfc2aacb,Lovastatin,Anxiolytic
161b53ba,Aspirin,Anxiolytic
ee1e3a1e,Glimepiride,antidiabetic
0971bc7b,Azithromycin,antibiotic
22f03ee1,Domperidone,antacid
29babc95,Telmisartan,antihypertensive
1f76a381,Amoxycillin,antibiotic
418afdb8,Betamethasone,Antifungal
e378cdd1,Coenzyme Q10,Anxiolytic
f93b7b9d,Chlordiazepoxide,Antifungal
ef61411a,Levocetirizine,antihistamine
f1a85a4f,Clotrimazole,Beta-blocker
21499290,Venlafaxine,Anxiolytic
e75add29,Allopurinol,Anxiolytic
c51c348c,Cetirizine,antihistamine
eecdb9eb,Clobetasol,Antiviral
dde6afa2,Evening Primrose Oil,Beta-blocker
c88fef57,Hydrocortisone,Beta-blocker
c80b67e0,Telmisartan,antihypertensive
af4785cc,Levodopa,Anxiolytic
c4d36e87,Dicyclomine,analgesic
983af93a,Vitamin A,Antifungal
ed235abb,Ramipril,Antiviral
f5083b3d,Cyclobenzaprine,analgesic
b656a3b7,Cefixime,antibiotic
6ae15f2f,Pregabalin,Anxiolytic
88b226be,Clobetasol,Antiviral
95e1d25c,Cefalexin,Antifungal
c69b72c9,Isosorbide Mononitrate,Anxiolytic
2e393320,Caffeine,analgesic
1db3664a,Granisetron,Antiviral
7aef7793,Cefuroxime,Antiviral
b7990dd0,Dicyclomine,Antiviral
4cc1e9a7,Diacerein,Anxiolytic
ae062a46,Atenolol,antihypertensive
7ad5b858,Nimesulide,analgesic
3d75112b,Diclofenac,analgesic
6c5a4ef3,Erythromycin,Antiviral
06c05028,Acebrophylline,Antiviral
48617313,Acebrophylline,Antifungal
4bfbbd81,Diclofenac,analgesic
289b3354,Ketoconazole,Anxiolytic
1f061141,Amoxycillin,antibiotic
63197fa4,Domperidone,antacid
c4a82aa9,Carvedilol,Beta-blocker
5f3d7e4a,Dipyridamole,Antifungal
98f6d1ea,Clopidogrel,Antifungal
ab36044b,Cefixime,antibiotic
00f226e5,Monobenzone,Anxiolytic
0e93f764,Esomeprazole,antacid
d5202dbe,Citalopram,Anxiolytic
c70d7dba,Nadifloxacin,Antifungal
b35769cf,Doxycycline,Anxiolytic
000b82c0,Amoxycillin,antibiotic
5ec23093,Carboxymethylcellulose,Antiviral
fc8c88f2,Gabapentin,Antifungal
19266336,Domperidone,antacid
4f53f677,Pioglitazone,Beta-blocker
7bbd5d26,Imatinib mesylate,Antiviral
5a5fb4a4,Desmopressin,Antiviral
d172edfd,Rifaximin,Antiviral
b51e4cee,Cefuroxime,Antifungal
77100246,Amlodipine,antihypertensive
2a877604,Metformin,antidiabetic
d92aaef7,Nitazoxanide,Anxiolytic
0635f145,Amoxycillin,antibiotic
19671d90,Teicoplanin,Antifungal
3e469acf,Erythromycin,Antifungal
f7bcbf5e,Gentamicin,Beta-blocker
ba46bc0b,Risperidone,Antifungal
af85c06b,Diphenhydramine,Antiviral
a8222e4e,Diacerein,Antiviral
115d5d89,Hydroquinone,Beta-blocker
91b5c912,Ketoconazole,Antiviral
2199d0d2,Estradiol,Anxiolytic
2748a70e,Etoricoxib,Beta-blocker
4b18e4a7,Rifaximin,Antiviral
7b2f8be8,Permethrin,Antiviral
08a72fa3,Itraconazole,Antiviral
578f6e47,Paracetamol,analgesic
cf3e1f09,Hydroquinone,Anxiolytic
70394409,Omeprazole,antacid
46341718,Chloramphenicol,Beta-blocker
11a2a3d5,Propranolol,Anxiolytic
f39302a2,Piracetam,Beta-blocker
e3bee3d2,Paracetamol/Acetaminophen,analgesic
3c712a7d,Piroxicam,Beta-blocker
22b66064,Clomipramine,Antifungal
366e9d23,Ketoconazole,Antiviral
2a71f151,Thyroxine,Antiviral
9427aa9d,Domperidone,antacid
5fa50cde,Fexofenadine,antihistamine
89ec7a84,Ondansetron,Antifungal
0076daf9,Lithium carbonate,Beta-blocker
cc2a0a69,Paracetamol,analgesic
1e9da2ee,Paracetamol,analgesic
1f904bfc,Tianeptine,Anxiolytic
35f6eb12,Hydroquinone,Antifungal
8ae2d28c,Levosalbutamol,bronchodilator
9269d71c,Ciprofloxacin,antibiotic
5a1cf539,Aceclofenac,analgesic
e5c7ef6c,Tacrolimus,Antiviral
e754ce5f,Tamsulosin,Antiviral
b3a68d67,Methylcobalamin,Antifungal
4c046513,Itraconazole,Antifungal
66b5497a,Bisoprolol,diuretic
cd1857e4,Bromhexine,Antifungal
3a6203f0,Caffeine,antihistamine
a702af6e,Metformin,antidiabetic
03a707fd,Lindane,Antiviral
914a17a8,Aluminium Hydroxide,Antifungal
f61701f3,Choline Salicylate,Antifungal
f0db7a80,Rizatriptan,Anxiolytic
4989d1f0,Nebivolol,antihypertensive
af029a30,Halobetasol,Antifungal
3a62a410,Febuxostat,Anxiolytic
ed84a246,Levofloxacin,Antifungal
3576a0b2,Misoprostol,Antifungal
b6a435f6,Calcium Carbonate,Antiviral
8cee3e8e,Ondansetron,Anxiolytic
ecda8665,Lorazepam,Beta-blocker
998a959e,Duloxetine,Antifungal
b36b6045,Fosfomycin,Antiviral
a9fd161b,Cefuroxime,Antiviral
8e341d1e,Glimepiride,antidiabetic
4f84e984,Adapalene,Beta-blocker
650844c0,Caffeine,antihistamine
ab135cf6,Salmeterol,Antiviral
8842b33c,Hydroquinone,Beta-blocker
cb157ca4,Cefixime,antibiotic
e45b334b,Itraconazole,Beta-blocker
0056a63d,Azithromycin,antibiotic
09f92baf,Amlodipine,antihypertensive
e46db4fe,Ondansetron,antacid
95b53851,Chlorzoxazone,analgesic
00a233f1,Betahistine,Antifungal
53ffc97d,Salicylic Acid,Antiviral
aff3c15b,Diclofenac,analgesic
ccb22c2b,Beclometasone,corticosteroid
aa6381a6,Minoxidil,Antifungal
e1c9185c,Olmesartan Medoxomil,antihypertensive
3713df05,Salbutamol,bronchodilator
861794bf,Tolterodine,Antifungal
a9aa43fe,Terbinafine,Antifungal
99edc80d,Domperidone,antacid
e87d09ac,Ethamsylate,Anxiolytic
7a9c1ebd,Clobetasol,Beta-blocker
7d402177,Aspirin,Anxiolytic
a41b2a6d,Methylcobalamin,Beta-blocker
a3ba26c0,Terbinafine,Beta-blocker
d3210be5,Bromhexine,Beta-blocker
9bc33e16,Fenofibrate,Antifungal
e0d313fc,Paracetamol,analgesic
bc7cdf73,Omeprazole,antacid
24b9401b,Dichlorobenzyl Alcohol,Antifungal
23d82cf0,Sulphacetamide,Antifungal
e2f40a3e,Lidocaine,Beta-blocker
32a87bc4,Lactulose,Anxiolytic
a354cd74,Isoxsuprine,Antifungal
0e49c7f1,Domperidone,antacid
163fe7c5,Mefenamic Acid,analgesic
53e22064,Halobetasol,Antifungal
3b541be4,Methylcobalamin,Antiviral
8baa7e0b,Acebrophylline,Antiviral
5a5a1dca,Roxithromycin,Antiviral
240dec76,Voglibose,Beta-blocker
b2ec7b76,Domperidone,antacid
735b7bb9,Atorvastatin,Antiviral
f820aac9,Cefixime,antibiotic
32043d1f,Bicalutamide,Antiviral
ab9da3e0,Abiraterone Acetate,Beta-blocker
5c3b466e,Glycerin,Antiviral
fc341918,Itraconazole,Antiviral
653f75cd,Cetirizine,antihistamine
674b07e6,Trioxasalen,Anxiolytic
254cda75,Aceclofenac,analgesic
ae041ff1,Cefdinir,Beta-blocker
a4c17849,Telmisartan,antihypertensive
45a622c1,Cefadroxil,Antiviral
801cb091,Methyldopa,Anxiolytic
43cff47d,Amoxycillin,antibiotic
c8d97a9f,Fluticasone Propionate,Antifungal
ffb076ad,Diethylcarbamazine,Antiviral
d17be9f4,Betahistine,Beta-blocker
ce2cbaae,Rabeprazole,antacid
dff176d5,Dexketoprofen,Antifungal
7c28224b,Atorvastatin,Antifungal
0bd351d7,Povidone Iodine,Antifungal
137e075b,Carboxymethylcellulose,Antifungal
8d10007c,Pregabalin,Antifungal
e9e557f9,Trypsin,Antiviral
6012fd04,Aceclofenac,analgesic
ad287e5a,Cefadroxil,Antiviral
5ee3d61a,Fexofenadine,antihistamine
b62318b8,Diclofenac,analgesic
b18429be,Losartan,antihypertensive
c5105f06,Mesterolone,Antiviral
a87704b5,Terbinafine,Antiviral
86408f53,Trihexyphenidyl,Beta-blocker
dfd21dc3,Acetylcysteine,Anxiolytic
0cdfa86b,Azithromycin,antibiotic
3e73f2b4,Ofloxacin,Beta-blocker
4967e648,Aceclofenac,analgesic
97958909,Ethinyl Estradiol,Beta-blocker
ab11d0a7,Mifepristone,Antiviral
4f486bff,Cefuroxime,Beta-blocker
8f9a830d,Diethylcarbamazine,Beta-blocker
684fe770,Leflunomide,Antifungal
8140f0be,Quetiapine,Antiviral
f2fb8167,L-Ornithine L-Aspartate,Antifungal
f0b7df56,Piroxicam,Antiviral
3b6b31e6,Loratadine,Beta-blocker
7af4b044,Hydroquinone,Antifungal
8c47c4ba,Ondansetron,Beta-blocker
d312c954,Ofloxacin,Anxiolytic
4b257dc0,Olanzapine,Beta-blocker
471c1fb2,Fexofenadine,antihistamine
07bece47,Cefixime,antibiotic
f0bdd3ba,Sodium Hyaluronate,Antiviral
cfda43dd,Aceclofenac,analgesic
0877e043,Valproic Acid,Antifungal
1a9c91f6,Pregabalin,Anxiolytic
2025caf1,Haloperidol,Antifungal
15224ebf,Cilostazol,Anxiolytic
364ab83c,Ranitidine,antacid
43e66270,Mometasone,Beta-blocker
7130bbf5,Levocetirizine,antihistamine
86e4eaff,Montelukast,antihistamine
e25d77f2,Ketoconazole,Beta-blocker
2d967ff6,Eicosapentaenoic acid,Antifungal
6e9cf362,Ofloxacin,Antiviral
66e05e22,Ketorolac,Beta-blocker
77dabe72,Hydrochlorothiazide,diuretic
fd0f64a9,Levocetirizine,antihistamine
83e25e3d,Povidone Iodine,Antiviral
b53730e8,Itraconazole,Anxiolytic
ae00b699,Carbamazepine,Antiviral
7f8b67d1,Ivermectin,Antifungal
13bcbea5,Gatifloxacin,Antifungal
2285ce74,Trypsin,Antifungal
98ef348c,Aceclofenac,analgesic
b224947d,Ibuprofen,Anxiolytic
e769ff6c,Torasemide,Antifungal
47b67e77,Voglibose,antidiabetic
ce3ec827,Megestrol,Antifungal
667a0b8c,Gatifloxacin,Beta-blocker
691e7a96,Amoxapine,Antiviral
f2c9683d,Desmopressin,Antifungal
cf0c29a0,Metronidazole,Antifungal
68821b98,Cefixime,antibiotic
97d083c2,Povidone Iodine,Antiviral
bd34bfef,Olmesartan Medoxomil,Antifungal
7133360d,Etizolam,Beta-blocker
f9662bd6,Azelastine,Antifungal
ad6706ab,Amoxycillin,antibiotic
7d8ab5a7,Carvedilol,Antifungal
a964e235,Ciclosporin,Antifungal
5dfc7ed7,Loratadine,Antiviral
56153ae4,Febuxostat,Antiviral
234548ac,Atenolol,antihypertensive
bffb437d,Fluticasone Propionate,Beta-blocker
421f0c21,Sparfloxacin,Antiviral
20930a0c,Metformin,antidiabetic
b936ba55,Tramadol,analgesic
e3eab374,Sitagliptin,antidiabetic
41f6661b,Glimepiride,antidiabetic
d6a76b3d,Esomeprazole,antacid
e674a408,Melatonin,Antifungal
674d6d7b,Indapamide,Antiviral
d5047ac1,Lidocaine,Antifungal
1883b45f,Pantoprazole,antacid
95dfcb37,Folic Acid,Antifungal
2ccf3e39,Arteether,Anxiolytic
bdecbca2,Fluocinolone acetonide,Antifungal
e7a07fcc,Aceclofenac,analgesic
1837ca90,Progesterone,Beta-blocker
5db2d46b,Serratiopeptidase,Anxiolytic
3d7b3e53,Omeprazole,antacid
75b3b589,Colchicine,Anxiolytic
7793977e,Hydroquinone,Antiviral
4093d22e,Ivermectin,Anxiolytic
c7bb0d76,Sterile Water,Antiviral
9d967a63,Adapalene,Anxiolytic
c5a551a0,Methylprednisolone,corticosteroid
f7bdb7fd,Telmisartan,antihypertensive
137e4698,Magaldrate,Anxiolytic
3e77e466,Methylcobalamin,Anxiolytic
a9f16997,Clonazepam,antidepressant
e4a17296,Penicillamine,Antiviral
4d76c82b,Domperidone,Beta-blocker
1566c29e,Sodium Hyaluronate,Antiviral
24f218ab,Etizolam,antidepressant
9471d947,Gatifloxacin,Anxiolytic
a7073b32,Luliconazole,Beta-blocker
17d2b6f4,Lithium carbonate,Beta-blocker
d3ed12e0,Hyoscine butylbromide,Antifungal
457975fe,Camylofin,analgesic
9d1a83f0,Deflazacort,Anxiolytic
b33a7d08,Nimesulide,analgesic
4c95a91a,Acyclovir,Antifungal
3d5c7f94,Clarithromycin,Antifungal
7f053c25,Ramipril,Antifungal
6b153741,Nystatin,Beta-blocker
5cea5822,Permethrin,Antifungal
8f7857c3,Paracetamol,analgesic
d6fa7b65,Aceclofenac,analgesic
45409ec0,Nimodipine,Anxiolytic
d4c1a93a,Sildenafil,Anxiolytic
41c2e71b,Permethrin,Antifungal
8444437e,Vilazodone,Antifungal
bf713c56,Domperidone,antacid
f6739835,Cetirizine,antihistamine
a60d8435,Amlodipine,antihypertensive
46d7399f,Albendazole,Antiviral
06de4d22,Cilnidipine,Anxiolytic
3211d017,Chlordiazepoxide,Antiviral
707ce78b,Amoxycillin,antibiotic
019ff7cc,Empagliflozin,Anxiolytic
e3197487,Thiocolchicoside,analgesic
29ca8cef,Fusidic Acid,Antifungal
f851c74c,Amlexanox,Anxiolytic
06e0bc37,Dapsone,Antiviral
83d7c042,Amlodipine,antihypertensive
772ffbcb,Propranolol,Anxiolytic
6edcc71a,Alpha-Beta Arteether,Anxiolytic
d964e6c4,Domperidone,antacid
34e965b9,Carbamazepine,Anxiolytic
4cb5aa22,Diclofenac,analgesic
374801cb,Racecadotril,Antiviral
f46544eb,Paracetamol/Acetaminophen,analgesic
50576f44,Chlorhexidine Gluconate,Beta-blocker
cc230fc7,Tolperisone,analgesic
34059464,Gabapentin,Anxiolytic
b51f9cf2,Thyroxine,Antiviral
e9922b40,Amitriptyline,antidepressant
194865b6,Fluoxetine,Antifungal
87aa0fa3,Nimesulide,analgesic
300ac620,Clopidogrel,Antifungal
659f1ead,Tramadol,Anxiolytic
567cedd7,Minoxidil,Antifungal
9da10c0c,Desloratadine,Antiviral
3ef8a589,Lithium carbonate,Antiviral
3d8b9e0f,Desonide,Antiviral
1cebb815,Tretinoin,Beta-blocker
c6c31614,Ozenoxacin,Antiviral
618b025c,Fluoxetine,Anxiolytic
ff202a53,Terbinafine,Antifungal
d9296f40,Tacrolimus,Antifungal
743db82c,Eperisone,analgesic
6539c6af,Alendronic Acid,Antiviral
b327687e,Levetiracetam,Antiviral
2fb1fa73,Hydrocortisone,Anxiolytic
2215c011,Methylcobalamin,Anxiolytic
98e459f0,Fluconazole,Antiviral
44300c2a,Sertraline,antidepressant
9dec1f6e,Rivaroxaban,Anxiolytic
debfa012,Chlorhexidine Gluconate,Antiviral
b2304789,Atorvastatin,Anxiolytic
45b5bd53,Etoricoxib,Beta-blocker
08482089,Citicoline,Anxiolytic
df72291d,Phenylephrine,antihistamine
350d41c6,Clonazepam,antidepressant
33f96487,Levosalbutamol,bronchodilator
41a3ed9b,Beclometasone,corticosteroid
92fb1497,Tadalafil,Antifungal
7f0c4ac6,Orlistat,Beta-blocker
17833b04,Ketoprofen,Antifungal
44d5cb16,Diclofenac,analgesic
e1853f69,Chloramphenicol,Beta-blocker
57e773a8,Paracetamol,analgesic
2c7c59b5,Sultamicillin tosilate,Anxiolytic
5180a34d,Clomiphene,Antifungal
b811cfcd,Finasteride,Beta-blocker
e379b849,Sodium Hyaluronate,Antifungal
13e1d94c,Minoxidil,Anxiolytic
3d82fd00,Itraconazole,Antiviral
2ea1a590,Progesterone,Anxiolytic
dad179a2,Human insulin,Antiviral
36af4eb1,Sodium Valproate,Anxiolytic
8f40d841,Lactobacillus Sporogenes,Beta-blocker
e25b12d7,Cyclopentolate,Antiviral
c4b874fa,Domperidone,antacid
83aedc9a,Xylometazoline,Beta-blocker
d507abd8,Carboxymethylcellulose,Antifungal
c453b80f,Azithromycin,antibiotic
cccf458f,Doxylamine,Antifungal
9dd96145,Pregabalin,Antifungal
0d451e8d,Paracetamol,analgesic
05c04779,Telmisartan,antihypertensive
25c6021e,Domperidone,Antiviral
e093a831,Paracetamol,analgesic
5d58c9ac,Doxofylline,Antifungal
796168fc,Cefixime,antibiotic
ddb35a2f,Rabeprazole,antacid
93ee2f73,Haloperidol,Anxiolytic
5594e2dd,Minoxidil,Antifungal
bd46e53e,Sucralfate,Antiviral
4a5414c2,Vitamin D3,Antiviral
90e2015c,Fluconazole,Beta-blocker
0c36a0c1,Domperidone,antacid
9a8ce958,Capecitabine,Antiviral
23accbd5,Ofloxacin,Antifungal
b72013f3,Amoxycillin,antibiotic
1b2cae61,Nimesulide,analgesic
83be8f30,Metoprolol Succinate,Anxiolytic
b1ff6991,Methylergometrine,Anxiolytic
b7c13389,Epalrestat,Anxiolytic
c9931d6d,Amlodipine,antihypertensive
d327bd7c,Piroxicam,Antifungal
3c513f74,Phenylephrine,antihistamine
34895d82,Clindamycin,Anxiolytic
028632c9,Progesterone,Antiviral
1d956f02,Dicyclomine,analgesic
240633f2,Beclometasone,corticosteroid
338ea96a,Paracetamol,analgesic
c00e2bb4,Pioglitazone,antidiabetic
b1ac1714,Ciclosporin,Beta-blocker
359dd2d9,Etoricoxib,analgesic
dbf59749,Levocetirizine,antihistamine
3608ebec,Sodium Chloride,Antiviral
1a0491d8,Choline Salicylate,Antiviral
e1d1e758,Chlorpheniramine Maleate,antihistamine
5c43c84a,Levocetirizine,antihistamine
20e10f08,Montelukast,antihistamine
f05ed794,Montelukast,antihistamine
f0e3db7a,Sodium Chloride,Antifungal
79c266e9,Xylometazoline,Anxiolytic
9670aae0,Lercanidipine,Beta-blocker
ce22437a,Hyaluronic Acid,Antiviral
e9c3734d,Sildenafil,Beta-blocker
b3fb04eb,Sodium Bicarbonate,Beta-blocker
d1397e80,Bepotastine,Antiviral
ced722a1,Amoxycillin,antibiotic
ae8025d4,Acebrophylline,Beta-blocker
a8b00f86,Nifedipine,Antiviral
4ee45340,Folic Acid,Anxiolytic
098c4e4e,Paracetamol,analgesic
0fc08e74,Telmisartan,antihypertensive
15790998,Miconazole,Antifungal
88bf1a6a,Metformin,antidiabetic
958e07ad,Rosuvastatin,Antiviral
e132d82c,Doxofylline,Antifungal
43661036,Cetrimide,Antiviral
da1be502,Aceclofenac,analgesic
a877b493,Calcium,Beta-blocker
7fddc0f0,Prednisolone,corticosteroid
d095dd22,Ciprofloxacin,antibiotic
1649b94a,Levocetirizine,antihistamine
a40fe1c6,Chloramphenicol,Antifungal
4b97351d,Sulfasalazine,Beta-blocker
3adfa116,Procyclidine,Beta-blocker
73269077,Domperidone,antacid
b838d948,Deflazacort,Antiviral
3dad4a72,Ampicillin,Anxiolytic
3bf7fa0b,Calamine,Beta-blocker
87d1c346,Amlodipine,antihypertensive
a9479196,Amoxycillin,antibiotic
1b274bd4,Clindamycin,Antiviral
7e70d090,Clobetasone,Beta-blocker
018d6536,Miconazole,Antiviral
9fa8df09,Aspirin,Anxiolytic
957be15e,Domperidone,antacid
c773ad66,Disodium Hydrogen Citrate,Antiviral
f37ada48,Ondansetron,Antiviral
fba7106f,Isotretinoin,Antifungal
